game_id,play_id,offense_team,defense_team,quarter,time_remaining_sec,down,distance,yardline,score_offense,score_defense,play_type,play_result,yards_gained,turnover,penalty,weather
1,0,Rams,Dolphins,4,496,1,4,35,25,30,kneel,gain,15,0,0,snow
1,1,Bills,Chiefs,2,611,2,2,60,9,20,spike,fumble,60,0,0,clear
1,2,Cowboys,Cowboys,1,530,1,8,83,14,25,spike,loss,51,0,0,hot
1,3,Cowboys,49ers,3,276,3,12,21,13,15,screen,touchdown,50,0,0,hot
1,4,Dolphins,Chiefs,1,300,1,17,72,28,43,deep_pass,loss,16,1,1,rain
1,5,Cowboys,49ers,4,625,4,7,50,9,40,run,fumble,30,1,1,snow
1,6,Eagles,Bills,2,311,2,7,37,23,3,run,loss,39,0,0,clear
1,7,Cowboys,Rams,1,484,4,15,13,30,16,deep_pass,touchdown,24,1,0,snow
1,8,Patriots,49ers,1,311,3,11,77,10,43,run,incomplete,55,0,0,clear
1,9,Dolphins,Cowboys,1,322,4,4,20,34,40,kneel,loss,54,0,1,cold
1,10,49ers,Packers,4,85,1,20,93,4,25,punt,touchdown,44,0,0,hot
1,11,49ers,Rams,1,642,2,12,83,7,11,punt,touchdown,3,1,0,rain
1,12,Steelers,Packers,4,123,3,2,27,26,4,qb_sneak,out_of_bounds,15,1,1,hot
1,13,Cowboys,Patriots,3,756,1,13,77,16,44,screen,gain,52,0,1,snow
1,14,Patriots,Packers,3,478,4,17,85,45,23,qb_sneak,incomplete,35,0,1,hot
1,15,Packers,Chiefs,1,889,2,19,95,9,19,spike,sack,27,1,1,snow
1,16,49ers,49ers,4,244,1,8,87,5,30,kneel,incomplete,-5,1,1,hot
1,17,Steelers,49ers,2,553,4,3,66,14,4,qb_sneak,incomplete,25,0,1,rain
1,18,Rams,Patriots,3,538,4,12,73,15,40,punt,gain,42,0,1,hot
1,19,Eagles,Cowboys,3,208,1,8,43,42,40,run,gain,-10,0,0,snow
1,20,Cowboys,Cowboys,4,780,2,2,61,31,22,qb_sneak,touchdown,2,1,1,snow
1,21,Patriots,Bills,3,241,4,15,14,16,23,run,gain,-1,0,0,windy
1,22,Cowboys,Cowboys,2,174,3,9,49,30,4,punt,loss,50,1,0,rain
1,23,Cowboys,Chiefs,1,661,4,14,98,7,35,screen,gain,9,1,0,rain
1,24,Eagles,Steelers,2,884,2,5,56,9,8,screen,out_of_bounds,7,0,0,cold
1,25,Patriots,Cowboys,3,851,3,8,29,4,10,spike,out_of_bounds,-1,0,1,snow
1,26,Steelers,Bills,4,409,2,9,10,12,18,spike,gain,58,1,0,clear
1,27,Steelers,Packers,2,319,1,20,66,6,9,run,gain,-9,1,0,hot
1,28,Steelers,Bills,2,256,3,19,52,31,22,deep_pass,touchdown,54,1,1,hot
1,29,Chiefs,Chiefs,2,637,4,2,100,38,5,kneel,interception,45,0,0,windy
1,30,Steelers,Chiefs,4,65,2,14,37,33,24,field_goal,loss,36,1,1,windy
1,31,Dolphins,Bills,1,585,2,11,97,36,20,spike,touchdown,10,1,1,snow
1,32,Cowboys,49ers,4,390,3,12,97,26,37,qb_sneak,interception,10,0,0,clear
1,33,Steelers,Cowboys,1,398,4,10,32,22,38,field_goal,sack,-9,1,1,hot
1,34,Dolphins,Steelers,1,195,2,19,15,7,36,kneel,sack,-4,1,1,snow
1,35,Packers,Cowboys,2,754,2,11,85,10,26,pass,out_of_bounds,35,0,0,snow
1,36,Cowboys,Packers,1,423,4,3,100,13,31,field_goal,interception,43,0,0,rain
1,37,Dolphins,Chiefs,1,770,2,16,29,42,34,screen,interception,-6,0,0,clear
1,38,Bills,Chiefs,3,344,2,8,29,44,26,deep_pass,loss,42,0,0,clear
1,39,Chiefs,Rams,1,791,2,1,99,11,23,pass,sack,24,1,0,clear
1,40,Bills,49ers,4,436,4,17,23,8,5,kneel,fumble,31,0,1,rain
1,41,Rams,Chiefs,2,374,1,15,64,31,0,punt,incomplete,58,0,1,rain
1,42,Packers,Rams,4,227,1,2,19,6,29,deep_pass,touchdown,34,1,1,windy
1,43,Packers,Packers,4,760,3,16,67,0,40,spike,loss,46,0,1,hot
1,44,Rams,Dolphins,3,808,1,18,2,10,15,screen,touchdown,58,0,0,cold
1,45,Eagles,Patriots,3,98,3,14,82,10,42,field_goal,incomplete,25,1,0,windy
1,46,49ers,Chiefs,2,253,2,14,76,20,27,qb_sneak,sack,7,0,1,snow
1,47,Cowboys,Dolphins,1,599,2,20,59,44,9,field_goal,out_of_bounds,12,1,1,snow
1,48,49ers,Rams,3,420,4,1,76,35,35,pass,loss,51,1,0,cold
1,49,Dolphins,Chiefs,3,705,1,12,12,1,23,run,incomplete,54,1,1,rain
1,50,Cowboys,Cowboys,2,618,3,3,9,30,3,run,sack,37,0,0,hot
1,51,Eagles,Dolphins,3,551,1,5,64,15,41,screen,out_of_bounds,40,0,0,cold
1,52,Steelers,Rams,1,802,1,3,89,3,36,field_goal,fumble,-6,1,1,windy
1,53,Bills,Eagles,3,742,1,1,73,32,5,pass,out_of_bounds,-2,0,0,snow
1,54,Steelers,Bills,3,898,3,7,35,40,33,run,touchdown,21,1,0,clear
1,55,49ers,Chiefs,1,608,3,3,80,6,38,qb_sneak,sack,11,1,1,rain
1,56,Rams,Chiefs,2,735,3,4,38,32,20,screen,sack,20,1,0,rain
1,57,Steelers,Patriots,2,20,3,7,20,8,27,qb_sneak,sack,35,0,0,cold
1,58,Rams,Eagles,1,863,2,20,43,35,12,spike,out_of_bounds,26,1,0,snow
1,59,Rams,Patriots,1,707,4,1,81,14,10,qb_sneak,out_of_bounds,14,1,1,cold
1,60,Dolphins,Cowboys,1,776,2,5,51,24,35,kneel,out_of_bounds,42,0,1,clear
1,61,49ers,Bills,4,118,2,9,62,15,13,punt,sack,4,0,0,clear
1,62,Rams,Dolphins,2,689,3,12,57,38,22,kneel,out_of_bounds,-8,0,0,windy
1,63,Patriots,Cowboys,2,338,1,6,30,1,41,pass,gain,59,0,0,cold
1,64,Steelers,Eagles,1,769,1,5,20,2,1,kneel,incomplete,25,0,0,clear
1,65,Packers,Patriots,2,433,1,6,1,15,35,punt,interception,17,0,0,hot
1,66,Bills,Packers,2,383,1,6,35,13,13,deep_pass,fumble,-1,0,0,cold
1,67,49ers,Eagles,1,429,1,10,7,31,12,field_goal,interception,-1,0,1,rain
1,68,Eagles,Steelers,1,400,1,12,22,19,37,screen,touchdown,25,1,1,windy
1,69,49ers,49ers,2,205,4,10,49,44,4,punt,interception,23,1,0,snow
1,70,Dolphins,Rams,3,8,2,20,73,12,14,field_goal,loss,1,1,1,windy
1,71,Patriots,49ers,4,466,2,5,32,23,26,spike,touchdown,11,1,1,rain
1,72,Patriots,Eagles,2,276,4,9,24,26,8,spike,interception,32,0,1,windy
1,73,Steelers,Chiefs,2,14,3,17,67,1,1,pass,touchdown,41,1,1,rain
1,74,Rams,Patriots,2,263,3,19,79,26,18,deep_pass,touchdown,26,0,0,hot
1,75,Dolphins,Chiefs,4,264,2,19,30,2,28,deep_pass,loss,20,0,1,hot
1,76,49ers,Chiefs,2,282,1,5,63,19,22,spike,fumble,21,0,0,clear
1,77,Dolphins,Cowboys,4,547,2,19,65,11,8,punt,touchdown,-1,0,1,snow
1,78,49ers,49ers,4,509,1,17,66,33,12,qb_sneak,fumble,53,1,0,snow
1,79,Rams,Chiefs,3,792,2,16,40,30,36,run,sack,-1,1,1,cold
1,80,Bills,Bills,4,647,3,18,8,15,22,pass,sack,17,1,0,rain
1,81,49ers,Steelers,2,502,1,16,27,1,37,punt,incomplete,58,0,1,hot
1,82,Rams,Chiefs,3,584,2,10,46,37,41,run,incomplete,60,1,0,snow
1,83,Steelers,Steelers,3,490,4,1,93,1,32,kneel,touchdown,43,0,1,rain
1,84,Packers,Dolphins,3,885,1,11,27,9,28,spike,sack,29,0,0,clear
1,85,Rams,Eagles,3,715,4,11,9,38,44,field_goal,fumble,7,0,0,cold
1,86,Steelers,49ers,3,431,3,9,48,3,44,kneel,interception,44,1,1,rain
1,87,Dolphins,Eagles,1,172,4,16,54,16,27,deep_pass,incomplete,29,1,0,cold
1,88,Bills,Chiefs,2,15,1,11,76,40,27,punt,sack,59,0,0,clear
1,89,Eagles,Eagles,1,834,2,15,2,14,36,spike,loss,3,1,0,clear
1,90,Cowboys,Steelers,3,128,4,17,30,39,43,kneel,touchdown,58,1,0,windy
1,91,Dolphins,Bills,3,288,2,19,7,25,43,screen,loss,48,1,0,clear
1,92,Cowboys,Dolphins,2,791,3,10,93,11,6,spike,interception,-8,1,1,rain
1,93,Bills,Bills,3,289,3,6,51,23,25,deep_pass,loss,48,1,1,cold
1,94,Eagles,Eagles,3,601,2,2,95,5,24,screen,interception,4,1,0,rain
1,95,Dolphins,Patriots,3,629,4,13,97,6,39,run,fumble,32,0,0,clear
1,96,Eagles,Steelers,1,367,1,15,66,41,4,field_goal,interception,7,0,0,windy
1,97,Eagles,Bills,3,339,3,17,51,21,43,screen,fumble,53,0,0,snow
1,98,Dolphins,Bills,1,235,4,12,79,17,34,qb_sneak,incomplete,0,1,0,rain
1,99,Steelers,Cowboys,1,579,1,12,99,13,33,pass,loss,60,0,1,rain
1,100,Eagles,Chiefs,1,62,4,19,54,37,27,screen,touchdown,45,0,1,cold
1,101,Dolphins,Patriots,2,267,4,16,30,7,23,run,out_of_bounds,46,0,0,clear
1,102,Rams,Dolphins,3,203,4,16,49,37,18,kneel,fumble,21,0,0,rain
1,103,Steelers,Rams,2,162,1,1,50,44,19,pass,sack,33,0,1,windy
1,104,Cowboys,Patriots,1,782,4,10,79,27,32,screen,out_of_bounds,57,0,1,windy
1,105,Cowboys,Patriots,3,80,3,20,8,19,9,kneel,loss,13,0,0,cold
1,106,Chiefs,Dolphins,2,850,1,7,71,28,44,deep_pass,loss,-1,1,0,hot
1,107,Rams,Rams,2,61,3,13,100,31,37,run,touchdown,-1,1,0,hot
1,108,49ers,Eagles,4,33,2,15,59,2,33,pass,touchdown,-10,1,0,windy
1,109,Chiefs,Cowboys,1,601,1,8,66,8,23,spike,gain,10,1,0,rain
1,110,Packers,Bills,1,837,1,6,71,14,36,field_goal,interception,53,0,1,clear
1,111,Dolphins,Steelers,1,617,1,10,26,40,44,kneel,loss,-1,0,1,hot
1,112,Dolphins,Eagles,4,745,3,5,98,22,3,punt,sack,18,0,1,windy
1,113,Cowboys,Dolphins,4,488,4,10,78,34,8,spike,out_of_bounds,7,1,0,windy
1,114,Cowboys,Eagles,3,673,1,10,97,41,30,qb_sneak,incomplete,10,0,0,cold
1,115,Patriots,Chiefs,4,466,3,16,91,5,37,qb_sneak,sack,12,0,1,snow
1,116,Packers,Rams,3,111,4,1,82,14,20,field_goal,sack,53,0,0,snow
1,117,Rams,Chiefs,1,84,1,8,67,38,6,punt,interception,51,1,0,snow
1,118,Chiefs,49ers,1,752,2,10,86,43,14,kneel,incomplete,4,0,0,hot
1,119,Dolphins,Bills,2,861,3,20,93,15,12,qb_sneak,gain,28,0,1,hot
1,120,Steelers,Cowboys,4,498,1,16,43,31,38,kneel,interception,20,1,1,rain
1,121,Chiefs,Bills,3,171,1,20,7,35,41,pass,fumble,7,0,1,hot
1,122,Cowboys,Patriots,4,637,1,5,99,34,16,field_goal,interception,48,0,0,snow
1,123,Packers,Cowboys,3,897,4,18,25,19,33,punt,incomplete,53,1,1,hot
1,124,Bills,Chiefs,3,168,2,10,36,11,43,pass,interception,20,1,0,hot
1,125,Eagles,Cowboys,4,736,3,10,92,6,0,qb_sneak,gain,15,1,1,rain
1,126,Patriots,Packers,1,329,4,15,23,35,15,field_goal,sack,45,1,0,rain
1,127,Eagles,Patriots,4,45,1,1,13,10,43,spike,incomplete,-9,0,0,cold
1,128,Eagles,49ers,1,880,2,14,64,40,1,pass,fumble,-3,0,1,cold
1,129,49ers,Packers,3,385,2,13,76,15,2,deep_pass,out_of_bounds,29,1,0,windy
1,130,Steelers,Packers,4,766,4,9,94,45,32,pass,fumble,33,1,1,clear
1,131,Eagles,Chiefs,1,560,4,11,59,13,12,punt,sack,41,0,1,cold
1,132,49ers,Packers,3,468,2,17,49,19,28,pass,interception,33,1,1,hot
1,133,Dolphins,Chiefs,3,35,2,4,93,32,1,kneel,loss,52,0,0,clear
1,134,Cowboys,Steelers,4,715,2,8,84,41,19,deep_pass,touchdown,52,0,0,windy
1,135,Patriots,Rams,4,891,2,17,85,3,18,run,out_of_bounds,-2,0,0,cold
1,136,Rams,Rams,4,437,3,9,33,32,39,qb_sneak,interception,9,0,1,cold
1,137,49ers,Steelers,4,792,2,17,78,7,30,qb_sneak,sack,24,1,0,cold
1,138,Steelers,Bills,1,68,4,16,69,8,41,screen,sack,12,1,0,windy
1,139,Dolphins,Eagles,2,503,2,5,48,24,8,field_goal,loss,1,0,1,clear
1,140,Steelers,Rams,1,536,4,15,72,27,22,punt,sack,11,1,1,cold
1,141,Rams,Dolphins,2,647,3,19,9,10,25,field_goal,out_of_bounds,-5,1,0,cold
1,142,Packers,Steelers,3,121,2,4,29,45,33,run,touchdown,33,1,1,rain
1,143,Chiefs,49ers,4,18,4,18,92,33,37,punt,out_of_bounds,-10,1,1,clear
1,144,49ers,Dolphins,3,474,4,13,27,24,11,punt,gain,27,1,0,clear
1,145,Packers,Eagles,3,359,4,5,88,14,9,run,touchdown,24,0,0,clear
1,146,Rams,Packers,4,400,2,7,21,5,32,field_goal,loss,4,1,1,windy
1,147,Eagles,Chiefs,4,291,4,12,85,26,1,kneel,sack,40,0,0,clear
1,148,Rams,Rams,2,501,4,7,4,1,3,pass,touchdown,20,1,0,windy
1,149,Rams,Chiefs,1,2,3,3,57,13,11,deep_pass,out_of_bounds,37,0,1,rain
2,150,Dolphins,Chiefs,3,824,1,17,20,2,37,spike,incomplete,18,0,0,windy
2,151,Rams,Steelers,1,606,3,20,23,36,4,spike,incomplete,54,0,0,cold
2,152,Dolphins,Cowboys,3,242,4,7,57,24,3,screen,out_of_bounds,20,1,1,rain
2,153,Bills,Cowboys,2,677,1,6,28,39,27,spike,gain,8,0,1,hot
2,154,Chiefs,Chiefs,2,687,1,12,84,11,1,qb_sneak,fumble,7,1,1,cold
2,155,Patriots,49ers,1,550,3,6,59,39,21,qb_sneak,sack,1,0,1,rain
2,156,Packers,Bills,3,804,3,5,82,38,38,field_goal,touchdown,27,1,0,hot
2,157,Packers,Chiefs,2,576,2,4,74,35,44,run,incomplete,22,0,1,cold
2,158,Patriots,Packers,3,218,2,5,19,7,42,qb_sneak,out_of_bounds,31,1,1,rain
2,159,49ers,Bills,4,264,2,15,64,5,25,screen,loss,27,1,0,hot
2,160,Chiefs,Dolphins,4,603,3,18,40,28,19,pass,touchdown,37,0,1,hot
2,161,Chiefs,Eagles,4,696,3,11,38,22,26,kneel,fumble,5,0,1,hot
2,162,Eagles,Packers,1,53,2,7,63,17,16,run,out_of_bounds,27,0,1,hot
2,163,Eagles,Rams,3,325,3,16,24,27,22,qb_sneak,gain,37,1,1,cold
2,164,Dolphins,Cowboys,4,859,2,2,48,34,36,field_goal,out_of_bounds,-10,1,0,rain
2,165,Chiefs,Packers,1,409,1,8,31,13,29,screen,sack,32,1,0,snow
2,166,Bills,Packers,3,230,3,3,82,28,0,kneel,sack,8,1,0,snow
2,167,Packers,Rams,2,867,3,3,37,20,18,deep_pass,incomplete,19,1,0,snow
2,168,Packers,Bills,2,671,4,1,77,12,27,punt,loss,4,1,1,cold
2,169,Bills,Chiefs,1,114,4,5,39,16,25,spike,gain,9,1,1,snow
2,170,Chiefs,Bills,4,764,4,15,11,42,15,run,touchdown,50,0,1,snow
2,171,Rams,49ers,3,92,4,15,79,11,1,spike,touchdown,2,0,1,cold
