game_id,play_id,offense_team,defense_team,quarter,time_remaining_sec,down,distance,yardline,score_offense,score_defense,play_type,play_result,yards_gained,turnover,penalty,weather
1,0,Chiefs,Steelers,1,900,1,10,25,0,0,pass,incomplete,0,0,0,cold
1,1,Chiefs,Steelers,1,895,2,10,25,0,0,screen,gain,8,0,0,cold
1,2,Chiefs,Steelers,1,866,3,2,33,0,0,run,gain,11,0,0,cold
1,3,Chiefs,Steelers,1,838,1,10,44,0,0,pass,sack,-3,0,0,cold
1,4,Chiefs,Steelers,1,809,2,13,41,0,0,pass,gain,19,0,0,cold
1,5,Chiefs,Steelers,1,768,1,10,60,0,0,pass,gain,19,0,0,cold
1,6,Chiefs,Steelers,1,742,1,10,79,0,0,run,gain,2,0,0,cold
1,7,Chiefs,Steelers,1,704,2,8,81,0,0,pass,gain,7,0,0,cold
1,8,Chiefs,Steelers,1,673,3,1,88,0,0,run,loss,0,0,0,cold
1,9,Chiefs,Steelers,1,635,4,1,88,0,0,qb_sneak,loss,0,0,0,cold
1,10,Steelers,Chiefs,1,609,1,10,12,0,0,pass,incomplete,0,0,0,cold
1,11,Steelers,Chiefs,1,601,2,10,12,0,0,screen,incomplete,0,0,0,cold
1,12,Steelers,Chiefs,1,593,3,10,12,0,0,pass,incomplete,0,0,0,cold
1,13,Steelers,Chiefs,1,590,4,10,12,0,0,punt,gain,36,0,0,cold
1,14,Chiefs,Steelers,1,558,1,10,64,0,0,pass,incomplete,0,0,1,cold
1,15,Chiefs,Steelers,1,554,2,10,64,0,0,deep_pass,incomplete,0,0,0,cold
1,16,Chiefs,Steelers,1,547,3,10,64,0,0,screen,incomplete,0,0,0,cold
1,17,Chiefs,Steelers,1,542,4,10,64,0,0,punt,gain,42,0,1,cold
1,18,Steelers,Chiefs,1,503,1,10,58,0,0,run,gain,10,0,0,cold
1,19,Steelers,Chiefs,1,472,1,10,68,0,0,deep_pass,incomplete,0,0,0,cold
1,20,Steelers,Chiefs,1,466,2,10,68,0,0,pass,gain,15,0,0,cold
1,21,Steelers,Chiefs,1,424,1,10,83,0,0,pass,gain,13,0,0,cold
1,22,Steelers,Chiefs,1,384,1,10,96,0,0,run,touchdown,4,0,1,cold
1,23,Chiefs,Steelers,1,342,1,10,25,0,7,run,gain,6,0,0,cold
1,24,Chiefs,Steelers,1,314,2,4,31,0,7,run,gain,4,0,0,cold
1,25,Chiefs,Steelers,1,283,1,10,35,0,7,pass,incomplete,0,0,0,cold
1,26,Chiefs,Steelers,1,280,2,10,35,0,7,screen,incomplete,0,0,1,cold
1,27,Chiefs,Steelers,1,276,3,10,35,0,7,deep_pass,gain,26,0,0,cold
1,28,Chiefs,Steelers,1,243,1,10,61,0,7,deep_pass,incomplete,0,0,0,cold
1,29,Chiefs,Steelers,1,239,2,10,61,0,7,pass,gain,0,0,0,cold
1,30,Chiefs,Steelers,1,211,3,10,61,0,7,deep_pass,sack,-12,0,0,cold
1,31,Chiefs,Steelers,1,186,4,22,49,0,7,punt,gain,39,0,0,cold
1,32,Steelers,Chiefs,1,147,1,10,61,7,0,deep_pass,incomplete,0,0,0,cold
1,33,Steelers,Chiefs,1,144,2,10,61,7,0,deep_pass,sack,-10,0,0,cold
1,34,Steelers,Chiefs,1,109,3,20,51,7,0,screen,gain,10,0,0,cold
1,35,Steelers,Chiefs,1,73,4,10,61,7,0,punt,gain,40,0,0,cold
1,36,Chiefs,Steelers,1,39,1,10,60,0,7,pass,incomplete,0,0,0,cold
1,37,Chiefs,Steelers,1,32,2,10,60,0,7,pass,gain,7,0,1,cold
1,38,Chiefs,Steelers,2,900,3,3,67,0,7,deep_pass,gain,18,0,0,cold
1,39,Chiefs,Steelers,2,864,1,10,85,0,7,pass,gain,11,0,1,cold
1,40,Chiefs,Steelers,2,830,1,10,96,0,7,pass,touchdown,4,0,0,cold
1,41,Steelers,Chiefs,2,795,1,10,25,7,7,run,gain,3,0,0,cold
1,42,Chiefs,Steelers,2,767,1,10,25,7,10,deep_pass,gain,21,0,1,cold
1,43,Chiefs,Steelers,2,725,1,10,46,7,10,run,gain,10,0,0,cold
1,44,Chiefs,Steelers,2,689,1,10,56,7,10,run,gain,1,0,0,cold
1,45,Chiefs,Steelers,2,651,2,9,57,7,10,pass,gain,21,0,0,cold
1,46,Chiefs,Steelers,2,624,1,10,78,7,10,pass,incomplete,0,0,0,cold
1,47,Chiefs,Steelers,2,618,2,10,78,7,10,pass,gain,2,0,1,cold
1,48,Chiefs,Steelers,2,576,3,8,80,7,10,screen,incomplete,0,0,0,cold
